Title,Link,Time,Summary
Peak XV Partners sells 1.5 pc stake in MobiKwik for Rs 82 cr,https://news.google.com/read/CBMisgFBVV95cUxNckRxZkxXWTlNNkJ5WVJpT3FCMEgxV2NWdTI4cENpNnMwY3RXU2pnMGI4WUdFZTV2WVJMZ3QyTHNxUnh3NFhxMF9STmZuVHFlV085ZUZRS3BrQ1VZREFzc0hmV3VjR2JuU3EyOE4wVjllYWdJVlUtYTVvYlFSeDNleHI0LW93NnV0UHExQlJHcGRUalZZSGtVTUpUbkJ5aDh2NkZhT2k2S19SSnpfUjI1Q09B?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-29 14:05:27 IST,"Peak XV Partners (formerly Sequoia India) sold 1.5% stake in MobiKwik for Rs 82 crore, reducing its holding to 1.26%, while MobiKwik's shares rose 2.40% following its recent successful IPO."
One MobiKwik Share Price: Rs 100 gain! Stock zooms 16% - Reason?,https://news.google.com/read/CBMixAJBVV95cUxNR0NQY3M1NXJ3aU43NXVYY1Q0UEJjRmE2WUdyNlhsdlVYdVpkNW5kb1k3T2d2d1M0OHhmelR6SE8wLUdjbktad0kyRV8yOGI0UzVPbktheTUyOGU5UEczRWN3YzVONUx6VXVLeU53dXMtWGMzUG56M25XaWgtSTJrb01GS2pLdS13d0F3RkVrZ2UzX1hJa21LTmMzOHZSdW1CSzZ0UjZQTEotdHdrZy1RMmtRbkF4RkZVUml0MTdEN1oyUGdmTXlsbF90SUlVUm9ubUFudDRyZXNod2NkVElwNWQtMU9NLUpiVHhJYk1vRmdMNE5CX2hsc3ZubFVMWURTNVFPYVNycElZTVZ5LTNNMEhzN3F6Sl9iT0dsamxQak5yeGFCSGNuTFdHRmJFN0IxOXJEZy1nMmh2Y3k5Sm4xczB1Rnk?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-29 13:09:44 IST,"MobiKwik shares surged 16% to hit an all-time high, doubling in value since their IPO listing on December 18, driven by a block deal involving 2.4% of the company's equity and strong investor interest in the fintech firm."
Mobikwik share price jumps over 120% against IPO price in seven sessions. More steam left?,https://news.google.com/read/CBMi6wJBVV95cUxONVpHQVZmZU9uUE91c0FxTE5jeVo3cl9pV2VmMzJ1Nm9rQ1IxS3pwWDk4bVZLRXBEb0swLVEzQmpMVGd5M0FlMFVfQ0w5QkVHd1FQWjN1Vk5GQVZEekZ2YVhLaGpWeGIzRFFsdzNxZ2NCcG9jVTIyNnlEdjY2aTlFVWdDY1pIVUxVWnZwenZtRldxN3pia05xM1duZFpLUzVaYlhYWjFvZjBPc3FKWHJCeDQ0aGZzU2liT0lxOGxxNjBnQnVZeGZGZmZTZ1BSeVhLMVNHUlFBajlHcEY5Zld5TVhrX0V4NDFKdFhhX2NGRVpjSjRUMVhmbU5aVUwwY3FDTjFodlBVeTQ1YW5MVHVRUUtiYU9ZN0laZHNDSzc5Z3hWcDRVNWhVTGJTdzM1TlFWSHpLdk51N1poVzhvNTZ3UUxuR3FwMS1GRC1UUWRGc2RiMUhPT1J5UUR2ZThyX2E4VEQ2U3JxdmY2SVk?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-29 00:16:26 IST,"Mobikwik shares continued to rally post-IPO, delivering over 120% returns to investors, with analysts citing strong fundamentals and setting a near-term target of ?700, supported by a base at ?590."
"Paytm vs MobiKwik: Which fintech to bet on for 2025? 2024 returns, fundamentals, financials compared",https://news.google.com/read/CBMi4gFBVV95cUxNYkFVZ2I5STJ5WkJsajg4dkZjaDFieDZubXNnUmZEWW1rX2RJUGFXVmhab29kTGhCWWhDYlRNWEZjYlEzSnlEamg3VHFUNGZxc0FaRF9Rb2VrWDZ5R0s3ODNQQnFjNHBIVzVELTVxWHdFdkRIQlEtZURpOE5ENXhWWFplYzA3cy1xT2QteVo1bW01ZzY3emNFZ2wyYWNOTkFhQUtMREhqZGxhSkYwTkJ2Zk5KbUxreVJ5cW5DZkhZUllXaS00VXlUdDBaeEo0WmYyUERIUjdUS1VvdjdZV1JXV0t30gHnAUFVX3lxTE1wbEh3U2tSaklLNWJyRmFaVGpWYlZkMzJVOEFuX1F1X1RHTVh3Q3RVSzdLZEVkUHVqM1dwNTlfRlB0bDBncDBqeE1Pd1dXRVdWdjNwX0hpRHVsLWF2aTFlZmZIam9ucUFtNldWc3BqajNNMTVhM3UxLWJnMndWVE9ZTFlZOGdteGczd3dHaVVHbTdJQWl1dU9BOHUxcmRCU2dkbkVtQk1SNnNJQTUyWlBWdGxrTzZoY0hqcm1jd0FtTUViZkZaTUVubzF4aDBZRVpndEN6akdGVDhYTGhfMjBXOGlLVncyQQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-28 19:32:55 IST,"Mobikwik shows stronger post-IPO performance and improving financials compared to Paytm, despite Paytm's higher revenue, presenting investors with a choice between a rapidly growing newcomer and an established player facing profitability challenges."
Mobikwik share price jumps over 120% against IPO price in seven sessions. More steam left? | Stock Market News,https://news.google.com/read/CBMi7gFBVV95cUxNbUVJdnlXNmdXYkgtYTNtaXZ3UXVMQXlSendCZzRfUmlMcXNEcVp1cEllYVFJMWxra0VqcFJnZm11ZTJ0U29wRmxaYnFnZFVLUWZycTJLd2c3VXZNN255SUhPdEhZaEtuSUMyUGF5WFQ3Q1UzUXBIQUpoZno5cHJkLVRFVHZWX2g3c3BLd1NQR3VnaEo1b1gxM3F4NGxwMXJjQkN5ajM2SE4zOHVlVE5GN3VjZ24wcWk1QjJkdzJUZndNdjgyTV8tRGdWcVJsdHdYbEZ6VDhjbHFsa2VJTE1wUHctUkluX1RhWmFhN3pB0gHzAUFVX3lxTE80eHZNNFdoU0pZVi1Cb0d4QUJzQzZFZ2xJMDh5VWJpWVVaT19UUHR6X0pHX0ZlT2ZMeU1OYjl4SE9TY1h0d2E4OC1nNVV0UmlUSlRxeDlzRTVjSGRiVG81WDlkZUN0LWNwa0xuWU5oOElvNm1Oc0JsVTBnWTdIeTUtY2lYd0Qxd0tJaFR2VkVQb19XMmdqaHFydEpiM0lyODFmUmRleVl4QUhZS19fZGhyblpnMUR4SkVwRHpBNU5ieTA1TWhJQmlWRkY2VUQ3OWp4SmJuSDEwMm8xZzBseC1iWUdqczBrS3FnTTUtSkxnUTNKcw?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-28 10:11:13 IST,"Mobikwik shares continue to surge post-IPO, delivering over 120% returns, with analysts citing strong fundamentals and setting a near-term target of ?700, supported by a base at ?590."
Mobikwik and 2 other stocks in which FIIs and DIIs sold stakes today via block deal,https://news.google.com/read/CBMiqwFBVV95cUxQbUtuN0NFZVFadjhWcW8tNE1PQnRWNWdFLWtnMnM0WmhhbmlHSlNHUV9QeXZ6RWlCWnVMRWxBVmFYQXU1T2FIc1VFVno2TFBjczVWRDFkRTlOSXF5amtJMVNrTXdVd1ZMemptNjRvWVVPY19VUFB6V1ZTeWFvMElnNllmcVNVRm1BaDFBUnNhZXVQbzRSYjYyaklfVk1KSGFSYXRhODg2VnFLNDQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-28 03:48:45 IST,
Peak XV Partners sells 1.5 pc stake in MobiKwik for Rs 82 cr,https://news.google.com/read/CBMixgJBVV95cUxOTFdRQ2QwUG8zRzBtRTdNV1U5V3hDYzlxWnBURkt2Rk56S1I0OXRTM3BBeV9qR3pJb1JDZ0pHVzBrOXlwb0o2RmFGQVk4SWFpNVB0aVcxNV8zb2xkdTdNZzU2aG9pa2R4MHk5aHNiM0NUaExpQVM3Y2FJOUx5SWpTUUR0eG5zVzBxMDhHSTVMNUx3OTRKY3MyOXZwVkFuVkxwbzRTZHJPaXROS1NZNTVtU09md3dFUlJUOUdpcEJ6LXk2YmdtQnRhUkprYXJ1LUlxdVBiTlJBblR6SmtsY0FnajAweWNXNGg2YWVDNGhIajZVWmhKNVA5WkliM2dqSVhyclhscV9aNWVxRFZCNEQ1MmtyN1RWbWJXaG9kYU9ZNGg0eUFUenFWdWJKOVd3alhrQ1ZGMUlRdlpqRk1HWlRWQ09FTzRGUQ?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-27 23:19:22 IST,
"Mobikwik Share Price Highlights : Mobikwik closed today at ₹628.55, down -1.57% from yesterday's ₹638.55 | Stock Market News",https://news.google.com/read/CBMiwAFBVV95cUxQS3hSSDRfTmhOREI2X1QxRS1qb2F3dTlZSmZZWkc5WWlXLUxBR3RjV0xqOF9qa1ZSeXVfVXc5Zjd2eG5IUWRGTjI5TnFCQWQ2VThvTDNDdTFVTDZISTl5U2tpdWp2MGRzM054d19FWVNqQ0VKSWc1ZWJFaEdOLWItMnl4MUp2Ym1sY0ZvZXpmd3pOdk5iNS1QSWNGMUxsb1lNVVQ1dmZGR0Y5aXRaQUtrSHEyd3k4TENERnhWdVJQUnrSAcYBQVVfeXFMTWg2Rjlfdlk0dDFxUGR3dmJRd1hESTE3N2JkeGVSS1VoM0VaNGZqNDdVMFZKQXB5aDYzYTJ0WWRBcS1EN2tjN1VMT0Zlb3VSV3prV21JZjJFNDVkWTVVaHNkbW5pTEF6QnJpVXNhbzJHM2dFWXVYQ29IZG9WMjJsNmZYQ29ETUlYN2VDV2x1dUlqUHFvV1k1UUpZeVNyMFNoT1JBempadXk3WkRGUmV5TnI1TG5YbWVDTzJYLWE3eFJSWW1XSEVB?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-27 20:02:38 IST,
One Mobikwik Systems Profit Loss: Check One Mobikwik Systems Profit & Loss Account Annual Statement,https://news.google.com/read/CBMiiwFBVV95cUxOeHl6MkVyb1h3aTBZVnVMTzd3SmJzdXh0STdMM29VcjBwVHQ1YmRtZk1EWkllWWlab1Q0Z1FIejlfQTZLRGZwbXVISzdnV25mZ3h0dUhiQ01TYmMybjk3SDRmdkwxY1ZGMU5MOUlSUTFST0RoMTI5eFU3QlZHN0pzZFdOdzN3dTRxTnpr?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-27 13:30:00 IST,
"One Mobikwik Systems Cashflow: Cashflow, Cash Flow Annual Statement, Free Cash Flow",https://news.google.com/read/CBMiiAFBVV95cUxPQkZaUmozcmlMbGtpalBHUFloelVVM2J0RUktQ0I4R3BGazlCYkZnaEFtalV0LXVIaXJJNG9KSE9hVDhCZkdud0NEcnVfQzhVWTV2WFJyZGUyeVV3Y0diUGljdWEwdnk0aUI4bEJmbXF0RnBSVENtbGxkY3hNbjk3a0c1ME5ack8z?hl=en-IN&gl=IN&ceid=IN%3Aen,2024-12-27 13:30:00 IST,
